[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [exec-1]: process started with pid [3307]
[exec-1] [INFO] [1700515608.320826550] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515608.321663419] [laserdrive]: Range at 90: 3.7402501106262207
[exec-1] [INFO] [1700515608.322676063] [laserdrive]: Range at -90: 0.414000004529953
[exec-1] [INFO] [1700515608.324721316] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515608.326038428] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515608.327552430] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515608.330338138] [laserdrive]: Range at -90: 0.41075000166893005
[exec-1] [INFO] [1700515608.330694969] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515608.331533020] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515608.337655113] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515608.338019549] [laserdrive]: Range at -90: 0.40674999356269836
[exec-1] [INFO] [1700515608.338329922] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515608.381961561] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515608.382729849] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515608.385002296] [laserdrive]: Range at -90: 0.40625
[exec-1] [INFO] [1700515608.385560312] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515608.446615406] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515608.447090163] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515608.447685169] [laserdrive]: Range at -90: 0.4037500023841858
[exec-1] [INFO] [1700515608.448052472] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515608.590725808] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515608.600798432] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515608.601339766] [laserdrive]: Range at -90: 0.3997499942779541
[exec-1] [INFO] [1700515608.601650440] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515608.646946224] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515608.648375223] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515608.648719792] [laserdrive]: Range at -90: 0.39500001072883606
[exec-1] [INFO] [1700515608.653868650] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515608.709939730] [laserdrive]: Range at 0: 0.0
